Words,Polarity,Subjectivity
the,0,0
latest,0.5,0.9
number,0,0
on,0,0
covid9,0,0
in,0,0
canada,0,0
for,0,0
saturday,0,0
march,0,0
watchdog,0,0
report,0,0
find,0,0
rcmp,0,0
discriminated,0,0
against,0,0
colten,0,0
boushies,0,0
mother,0,0
overpriced,0,0
housing,0,0
is,0,0
moving,0,0
out,0,0
of,0,0
urban,0,0
centre,0,0
and,0,0
into,0,0
canada,0,0
city,0,0
and,0,0
town,0,0
here,0,0
why,0,0
were,0,0
not,0,0
ready,0.2,0.5
for,0,0
this,0,0
today,0,0
coronavirus,0,0
news,0,0
ontario,0,0
report,0,0
9,0,0
covid9,0,0
case,0,0
with,0,0
death,0,0
spectator,0,0
from,0,0
abroad,0,0
barred,0,0
from,0,0
the,0,0
tokyo,0,0
olympics,0,0
an,0,0
interim,0,0
audit,0,0
is,0,0
released,0,0
about,0,0
the,0,0
of,0,0
canada,0,0
pandem,0,0
climate,0,0
change,0,0
denial,0,0
proof,0,0
erin,0,0
otooles,0,0
conservative,0,0
are,0,0
living,0,0
in,0,0
their,0,0
own,0.6,1
virtual,0,0
reality,0,0
chantal,0,0
hbert,0,0
on,0,0
climate,0,0
erin,0,0
otoole,0,0
hasnt,0,0
learned,0,0
from,0,0
his,0,0
predecessor,0,0
mistake,0,0
erin,0,0
otoole,0,0
pitch,0,0
new,0.136363636,0.454545455
direction,0,0
but,0,0
conservative,0,0
stick,0,0
to,0,0
old,0.1,0.2
position,0,0
they,0,0
saw,0,0
suffering,0,0
and,0,0
death,0,0
and,0,0
braved,0,0
covid9,0,0
in,0,0
longtermcare,0,0
home,0,0
ontario,0,0
nurse,0,0
recount,0,0
the,0,0
horror,0,0
of,0,0
the,0,0
frontlines,0,0
that,0,0
left,0,0
many,0.5,0.5
with,0,0
ptsd,0,0
symptom,0,0
maybe,0,0
thing,0,0
have,0,0
gotten,0,0
too,0,0
far,0.1,1
father,0,0
accused,0,0
of,0,0
repeatedly,0,0
publicly,0,0.066666667
identifying,0,0
transgender,0,0
child,0,0
jailed,0,0
until,0,0
trial,0,0
raylene,0,0
whitford,0,0
appointed,0,0
to,0,0
federal,0,0
task,0,0
force,0,0
on,0,0
woman,0,0
in,0,0
the,0,0
economy,0,0
community,0,0
rally,0,0
around,0,0
levi,0,0
jamieson,0,0
calgary,0,0
art,0,0
community,0,0
honour,0,0
artist,0,0
amy,0,0
willier,0,0
another,0,0
alberta,0,0
union,0,0
reject,0,0
province,0,0
request,0,0
for,0,0
more,0.5,0.5
bargaining,0,0
delay,0,0
bc,0,0
report,0,0
new,0.136363636,0.454545455
case,0,0
of,0,0
covid9,0,0
a,0,0
official,0,0
tout,0,0
oxfordastrazeneca,0,0
vaccine,0,0
bcs,0,0
top,0.5,0.5
doctor,0,0
thankful,0,0
a,0,0
court,0,0
ruling,0,0
upholds,0,0
public,0,0.066666667
health,0,0
order,0,0
speaker,0,0
at,0,0
conservative,0,0
convention,0,0
debate,0,0
declaring,0,0
climate,0,0
change,0,0
is,0,0
real,0.2,0.3
target,0,0
montreal,0,0
seat,0,0
with,0,0
focus,0,0
on,0,0
systemic,0,0
racism,0,0
lng,0,0
unity,0,0
and,0,0
trust,0,0
annita,0,0
mcphee,0,0
on,0,0
her,0,0
role,0,0
a,0,0
the,0,0
first,0.25,0.333333333
indigenous,0,0
executive,0,0
director,0,0
of,0,0
a,0,0
cpaws,0,0
chapter,0,0
muyres,0,0
and,0,0
walker,0,0
defeat,0,0
kleibrink,0,0
and,0,0
kitz,0,0
at,0,0
mixed,0,0.25
double,0,0
curling,0,0
event,0,0
jennifer,0,0
jones,0,0
brent,0,0
laing,0,0
off,0,0
to,0,0
fast,0.2,0.6
start,0,0
at,0,0
canadian,0,0
mixed,0,0.25
double,0,0
championship,0,0
alberta,0,0
report,0,0
almost,0,0
new,0.136363636,0.454545455
covid9,0,0
case,0,0
for,0,0
the,0,0
first,0.25,0.333333333
time,0,0
since,0,0
january,0,0
indigenous,0,0
relation,0,0
minister,0,0
forcing,0,0
legislation,0,0
mtis,0,0
settlement,0,0
throat,0,0
accuses,0,0
leader,0,0
stettler,0,0
property,0,0
owner,0,0
proposing,0,0
home,0,0
duplex,0,0
on,0,0
rotary,0,0
campground,0,0
jasper,0,0
treasure,0,0
olga,0,0
dowling,0,0
the,0,0
write,0,0
stuff,0,0
city,0,0
park,0,0
covid,0,0
popularity,0,0
could,0,0
carry,0,0
on,0,0
covid9,0,0
outbreak,0,0
declared,0,0
at,0,0
riverview,0,0
health,0,0
centre,0,0
improvement,0,0
to,0,0
kirkella,0,0
community,0,0
pasture,0,0
lithium,0,0
boom,0,0
just,0,0
getting,0,0
started,0,0
five,0,0
different,0,0.6
player,0,0
score,0,0
for,0,0
senator,0,0
in,0,0
win,0.8,0.4
over,0,0
marlies,0,0
in,0,0
ahl,0,0
matinee,0,0
toronto,0,0
fc,0,0
resume,0,0
full,0.35,0.55
training,0,0
after,0,0
being,0,0
sidelined,0,0
by,0,0
covid9,0,0
outbreak,0,0
tory,0,0
grassroots,0,0
vote,0,0
against,0,0
putting,0,0
line,0,0
saying,0,0
climate,0,0
change,0,0
is,0,0
real,0.2,0.3
into,0,0
policy,0,0
personal,0,0.3
trainer,0,0
love,0.5,0.6
helping,0,0
others,0,0
in,0,0
their,0,0
wellness,0,0
goal,0,0
whiewater,0,0
aiming,0,0
for,0,0
faster,0,0
council,0,0
meeting,0,0
with,0,0
reporting,0,0
change,0,0
more,0.5,0.5
possible,0,1
wedding,0,0
officiant,0,0
for,0,0
whitewater,0,0
region,0,0
montreal,0,0
canadiens,0,0
edge,0,0
vancouver,0,0
canuck,0,0
on,0,0
tomas,0,0
tatar,0,0
shootout,0,0
winner,0,0
quebec,0,0
report,0,0
new,0.136363636,0.454545455
covid9,0,0
case,0,0
seven,0,0
death,0,0
more,0.5,0.5
vaccination,0,0
room,0,0
with,0,0
a,0,0
view,0,0
get,0,0
back,0,0
to,0,0
nature,0,0
in,0,0
hinters,0,0
minimalistchic,0,0
hillside,0,0
retreat,0,0
qmjhl,0,0
roundup,0,0
sherbrooke,0,0
score,0,0
four,0,0
in,0,0
third,0,0
to,0,0
beat,0,0
chicoutimi,0,0
quebec,0,0
job,0,0
post,0,0
for,0,0
white,0,0
woman,0,0
spark,0,0
debate,0,0
about,0,0
caring,0,0
for,0,0
senior,0,0
new,0.136363636,0.454545455
space,0,0
for,0,0
the,0,0
wolf,0,0
pack,0,0
street,0,0
patrol,0,0
auction,0,0
for,0,0
wilder,0,0
help,0,0
his,0,0
mom,0,0
frontline,0,0
police,0,0
officer,0,0
moved,0,0
ahead,0,0
in,0,0
nova,0,0
scotia,0,0
vaccine,0,0
schedule,0,0
atlantic,0,0
canada,0,0
look,0,0
to,0,0
reinstate,0,0
bubble,0,0
why,0,0
the,0,0
east,0,0
coast,0,0
ha,0,0
remained,0,0
a,0,0
lowcovid,0,0
oasis,0,0
during,0,0
this,0,0
pandemic,0,0
found,0,0
family,0,0
photo,0,0
provide,0,0
snapshot,0,0
of,0,0
what,0,0
life,0,0
wa,0,0
like,0,0
for,0,0
early,0.1,0.3
chinese,0,0
immigrant,0,0
to,0,0
halifax,0,0
liverpool,0,0
to,0,0
host,0,0
curling,0,0
pretrial,0,0
separated,0,0
canadian,0,0
are,0,0
waiting,0,0
to,0,0
be,0,0
reunited,0,0
with,0,0
their,0,0
overseas,0,0
partner,0,0
